date,match,round,Lu,Cr,Co,Na
T2019-01-14,9,1,2,3,6,4
T2019-01-14,9,2,3,3,3,6
T2019-01-14,9,3,4,4,3,7
T2019-01-14,9,4,5,4,3,5
T2019-01-14,9,5,5,4,5,5
T2019-01-14,9,6,6,5,3,4
T2019-01-14,9,7,7,12,3,5
T2019-01-14,9,8,12,12,6,5
T2019-01-14,9,9,5,12,12,12
T2019-01-14,9,10,3,4,3,5
T2019-01-14,9,11,7,5,3,12
T2019-01-14,9,12,5,4,5,12
T2019-01-14,9,13,12,5,4,12
T2019-01-14,9,14,6,5,5,12
T2019-01-14,9,15,11,4,12,8
T2019-02-02,10,1,2,3,3,3
T2019-02-02,10,2,4,5,4,11
T2019-02-02,10,3,12,5,3,5
T2019-02-02,10,4,5,4,5,4
T2019-02-02,10,5,12,5,3,12
T2019-02-02,10,6,3,8,3,4
T2019-02-02,10,7,4,4,7,5
T2019-02-02,10,8,3,12,3,12
T2019-02-02,10,9,5,6,5,6
T2019-02-02,10,10,3,5,11,12
T2019-02-02,10,11,5,7,5,14
T2019-02-02,10,12,6,12,5,4
T2019-02-02,10,13,9,12,17,12
T2019-02-02,10,14,3,12,5,12
T2019-02-02,10,15,12,4,3,6
T2019-02-02,10,16,4,6,4,7
T2019-02-02,10,17,5,9,,6
T2019-02-05,11,1,6,5,3,4
T2019-02-05,11,2,5,6,3,8
T2019-02-05,11,3,10,7,5,16
T2019-02-05,11,4,14,5,3,9
T2019-02-05,11,5,12,24,12,7
T2019-02-05,11,6,4,7,7,5
T2019-02-05,11,7,12,3,12,4
T2019-02-05,11,8,5,5,4,12
T2019-02-05,11,9,4,5,4,12
T2019-02-05,11,10,12,4,3,12
T2019-02-05,11,11,4,7,3,5
T2019-02-05,11,12,12,7,5,4
T2019-02-05,11,13,12,4,7,7
T2019-02-05,11,14,5,5,7,12
T2019-02-05,11,15,3,5,4,12
T2019-02-05,11,16,10,0,4,0
T2019-02-16,12,1,4,5,4,6
T2019-02-16,12,2,5,12,5,7
T2019-02-16,12,3,4,7,6,8
T2019-02-16,12,4,12,5,7,20
T2019-02-16,12,5,8,6,3,12
T2019-02-16,12,6,5,12,5,17
T2019-02-16,12,7,14,4,5,6
T2019-02-16,12,8,5,3,15,4
T2019-02-16,12,9,5,3,9,5
T2019-02-16,12,10,6,5,14,12
T2019-02-16,12,11,4,12,12,5
T2019-02-16,12,12,4,4,4,16
T2019-02-16,12,13,4,5,8,14
T2019-02-16,12,14,6,4,3,5
T2019-02-16,12,15,9,0,11,5
T2019-02-22,13,1,3,4,4,3
T2019-02-22,13,2,7,8,5,5
T2019-02-22,13,3,4,14,7,5
T2019-02-22,13,4,3,12,12,7
T2019-02-22,13,5,4,12,9,7
T2019-02-22,13,6,6,8,5,7
T2019-02-22,13,7,5,16,12,3
T2019-02-22,13,8,4,5,5,12
T2019-02-22,13,9,12,5,5,5
T2019-02-22,13,10,10,12,5,4
T2019-02-22,13,11,5,12,3,12
T2019-02-22,13,12,12,4,6,9
T2019-02-22,13,13,11,12,5,6
T2019-02-22,13,14,5,4,2,11
T2019-03-24,14,1,4,5,3,3
T2019-03-24,14,2,8,5,4,6
T2019-03-24,14,3,5,8,5,12
T2019-03-24,14,4,7,3,4,8
T2019-03-24,14,5,12,5,5,4
T2019-03-24,14,6,3,2,14,4
T2019-03-24,14,7,12,2,17,3
T2019-03-24,14,8,4,5,4,5
T2019-03-24,14,9,14,12,12,4
T2019-03-24,14,10,15,4,5,12
T2019-03-24,14,11,5,3,5,12
T2019-03-24,14,12,7,12,4,12
T2019-03-24,14,13,6,3,4,6
T2019-03-24,14,14,4,6,3,5
T2019-03-24,14,15,5,12,12,6
T2019-03-24,14,16,7,5,7,12
T2019-03-24,14,17,7,9,12,6
T2019-03-24,14,18,3,18,4,5
T2019-05-05,15,1,2,3,7,3
T2019-05-05,15,2,5,4,12,3
T2019-05-05,15,3,7,5,4,3
T2019-05-05,15,4,7,2,3,6
T2019-05-05,15,5,16,7,4,5
T2019-05-05,15,6,5,4,12,14
T2019-05-05,15,7,15,16,5,12
T2019-05-05,15,8,2,4,6,16
T2019-05-05,15,9,14,3,5,12
T2019-05-05,15,10,4,2,5,12
T2019-05-05,15,11,8,4,5,5
T2019-05-05,15,12,4,12,5,5
T2019-05-05,15,13,4,5,5,12
T2019-05-05,15,14,4,5,5,12
T2019-05-05,15,15,11,5,,12
T2020-04-30,16,1,5,3,7,3
T2020-04-30,16,2,12,5,12,5
T2020-04-30,16,3,4,4,8,6
T2020-04-30,16,4,4,4,5,14
T2020-04-30,16,5,12,12,4,5
T2020-04-30,16,6,3,14,5,6
T2020-04-30,16,7,4,6,3,4
T2020-04-30,16,8,12,5,4,4
T2020-04-30,16,9,9,6,10,5
T2020-04-30,16,10,12,5,4,3
T2020-04-30,16,11,12,8,3,5
T2020-04-30,16,12,14,7,5,7
T2020-04-30,16,13,12,12,3,4
T2020-04-30,16,14,3,5,5,18
T2020-04-30,16,15,12,5,4,4
T2020-04-30,16,16,3,16,3,12
T2020-04-30,16,17,4,12,9,5
T2020-04-30,16,18,,5,,4
T2020-09-09,17,1,4,3,6,2
T2020-09-09,17,2,6,4,7,6
T2020-09-09,17,3,8,10,3,8
T2020-09-09,17,4,5,19,2,8
T2020-09-09,17,5,6,5,2,8
T2020-09-09,17,6,10,3,6,7
T2020-09-09,17,7,5,14,16,12
T2020-09-09,17,8,4,5,3,12
T2020-09-09,17,9,17,5,3,4
T2020-09-09,17,10,4,12,8,7
T2020-09-09,17,11,2,12,4,6
T2020-09-09,17,12,6,12,5,5
T2020-09-09,17,13,16,7,3,14
T2020-09-09,17,14,12,8,4,6
T2020-09-09,17,15,6,5,6,12
T2020-09-09,17,16,5,12,10,8
T2020-09-09,17,17,2,5,,4
T2020-09-09,17,18,,,,
T2020-12-01,18,1,2,5,3,4
T2020-12-01,18,2,5,4,3,4
T2020-12-01,18,3,5,7,5,4
T2020-12-01,18,4,4,6,15,7
T2020-12-01,18,5,3,5,4,5
T2020-12-01,18,6,5,4,3,4
T2020-12-01,18,7,12,10,7,12
T2020-12-01,18,8,3,12,3,12
T2020-12-01,18,9,4,12,4,6
T2020-12-01,18,10,2,6,14,7
T2020-12-01,18,11,7,12,8,5
T2020-12-01,18,12,8,5,4,17
T2020-12-01,18,13,15,14,6,5
T2020-12-01,18,14,5,12,5,12
T2020-12-01,18,15,5,5,6,8
T2020-12-01,18,16,12,4,7,3
T2020-12-01,18,17,5,3,8,10
T2020-12-01,18,18,2,,4,
T2021-02-01,19,1,3,4,7,4
T2021-02-01,19,2,8,15,6,5
T2021-02-01,19,3,7,5,7,9
T2021-02-01,19,4,6,5,15,9
T2021-02-01,19,5,3,4,7,3
T2021-02-01,19,6,14,6,6,4
T2021-02-01,19,7,6,4,16,7
T2021-02-01,19,8,13,5,5,12
T2021-02-01,19,9,11,12,4,12
T2021-02-01,19,10,8,12,7,12
T2021-02-01,19,11,8,4,3,7
T2021-02-01,19,12,7,5,5,12
T2021-02-01,19,13,16,12,6,7
T2021-02-01,19,14,3,5,4,5
T2021-02-01,19,15,5,9,5,4
T2021-02-01,19,16,12,,,